Frequency (Hz),OL Magnitude (dB),OL Phase (Deg),Plant Magnitude (dB),Plant Phase (Deg)
19.4353943,-3.06159878,-163.101974,2.76305866,-172.140457
19.8824081,-3.57398701,-163.904388,2.85786533,-168.461761
20.3397045,-4.76812696,-169.546082,2.0460639,-168.960052
20.807518,-4.97779322,-171.328552,1.8978188,-166.32872
21.2860909,-5.04909277,-172.878952,1.86071205,-167.523895
21.775671,-4.86895895,-170.920639,1.95888352,-171.374069
22.2765121,-5.29794741,-177.570023,1.39937949,-166.394531
22.7888718,-4.45283365,-167.771637,2.31511879,-169.812836
23.313015,-5.23010826,177.811279,1.37200975,-170.588699
23.8492146,-5.2544961,-178.632843,1.48832011,-167.828125
24.397747,-5.09231472,-174.665634,1.86108398,-169.157196
24.9588947,-4.69227695,-169.926941,2.24877739,-169.388794
25.5329494,-4.68475437,169.45549,1.13148212,-173.819077
26.1202068,-2.84579349,-163.142014,2.70289731,-174.054932
26.7209721,-4.71535206,169.680466,1.11343575,-173.557846
27.3355541,-4.12396097,-166.572861,2.35996079,-173.960739
27.9642715,-4.11523676,166.283371,1.29029298,-176.012039
28.6074505,-5.18433857,-177.870621,1.70852184,-169.992111
29.2654228,-4.93125582,173.283966,1.60878098,-175.16481
29.9385281,-2.19539428,-163.454697,2.58190322,-176.719681
30.6271133,-2.61611533,162.79454,1.03503478,-177.799545
31.3315372,-4.68604565,-170.693481,2.22460222,-173.632477
32.0521622,-3.62302399,-164.857864,2.39805627,-175.914536
32.7893639,-1.94176078,-163.876694,2.52583361,-177.63028
33.5435181,-3.11734033,-163.69429,2.90056515,-172.871704
34.3150177,-5.12512732,-178.396408,1.87653399,-173.9496
35.1042633,-4.20874882,166.930191,1.6821053,-178.837341
35.9116631,-1.75661731,-164.277069,2.91327786,-176.479324
36.7376328,-3.95832586,-166.169342,2.18890214,-177.667435
37.5825996,-5.02663612,175.288116,1.86018717,-179.306961
38.4469986,-5.09276438,-176.195038,1.90367055,-174.102829
39.3312798,-2.47378349,163.026703,1.69827521,179.813446
40.2359009,-2.97308969,-163.741852,2.52945852,-176.753174
41.1613274,-2.86260867,163.279327,1.80078888,179.917984
42.1080399,-1.21703577,-165.731888,2.75983763,-177.206696
43.0765266,-4.74912739,-169.893997,2.33018947,-159.678558
44.0672874,-1.62752366,163.635529,-0.42275098,-176.064697
45.0808334,-0.227569893,172.620621,1.09082413,179.114456
46.117691,-5.08645582,178.236343,1.88772142,-176.133713
47.1783981,-1.00884295,166.503494,1.7455411,179.509155
48.2635002,-0.672118783,168.465805,1.67083573,179.44072
49.3735619,-1.02947521,-171.316223,-4.89708471,153.070282
50.5091553,-0.614756525,-169.38298,2.78460932,-179.104324
51.6708641,-3.5983932,-165.282166,2.25286531,-179.012985
52.8592949,-4.80833817,172.235031,1.89915764,-179.195786
54.075058,-5.02735901,174.304016,1.66529083,-177.247101
55.3187828,-4.95627832,-175.074692,2.03836203,-179.152878
56.591114,-2.03928113,-164.520187,1.37171781,175.153366
57.8927116,-3.65236139,-165.557556,2.095505,179.35318
59.2242432,-1.61635518,164.203217,1.58227897,179.945114
60.5863991,-0.550857246,169.350327,1.94956362,178.779144
61.9798851,-4.29674149,168.371429,2.58983421,172.893188
63.4054222,-3.31988883,-164.655289,2.04437757,178.998886
64.8637466,-4.36290359,168.538696,2.40572786,174.412796
66.3556137,-4.98960924,175.555649,2.00126505,179.513199
67.8817902,-4.36625147,168.169205,2.01906395,178.470474
69.4430695,-0.411854923,170.63945,2.24322462,178.446976
71.0402603,-1.256338,165.297989,1.99149144,178.458878
72.6741867,-0.048595253,176.387451,2.22512794,178.559555
74.3456955,-1.5487572,-165.3237,1.95373201,177.970535
76.0556488,-1.37198496,-165.683517,2.27697325,179.5755
77.8049316,-5.04367971,-176.869888,1.9840821,-179.438614
79.5944443,-2.77445984,163.12767,2.073066,178.088425
81.4251175,-1.85015213,-164.622971,2.06563282,178.400665
83.2978973,-5.01882887,-176.280869,2.00664902,-179.056808
85.2137527,-1.02907312,166.311798,2.19171047,178.082855
87.1736679,-0.4380292,170.222565,2.07453561,178.150452
89.1786652,-0.059497189,175.894211,2.07121038,178.145676
91.2297745,-1.68455815,164.031311,2.1624651,177.964569
93.3280563,-1.96134186,-164.549271,2.07548714,178.047882
95.4746017,-0.376189649,-171.925461,2.0937922,178.028259
97.670517,-1.33156085,-166.112946,2.08592248,177.955582
99.9169388,0.001567513,179.544342,2.09501767,177.891312
102.215027,-0.986861169,-167.556808,2.1172626,178.025894
104.565971,-1.59056544,-165.366745,2.13032031,177.974319
106.970985,-1.11935842,-166.95639,2.15007973,178.055481
109.43132,-2.73313665,162.989807,2.02800393,177.938965
111.948242,-3.54371929,-165.510956,2.11874342,178.505768
114.523048,-4.7355094,170.876343,1.95298779,177.892899
117.157082,-4.45535517,169.691986,2.22921968,178.615356
119.851692,-4.87961769,-173.798187,1.96129453,178.382187
122.608284,-1.97806394,162.973785,1.95432651,176.986557
125.428276,-4.76460791,-176.655472,2.61911321,-178.715866
128.313126,-1.39093649,164.198853,2.09942842,175.988739
131.264328,-3.0191021,162.817856,2.13050747,175.781815
134.283401,-5.04494286,177.522827,2.03909492,177.459488
137.371918,-4.62596941,-171.473877,2.03141713,177.447845
140.531479,-4.87651396,-174.956497,2.06678033,176.879364
143.763702,-5.06038475,-179.204529,2.00712729,177.01033
147.070267,-5.07639313,178.656021,1.99688566,176.805481
150.452881,-4.8512001,171.492859,1.93409717,175.395142
153.9133,-5.05338001,-179.417175,2.02923918,176.952774
