Frequency (Hz),OL Magnitude (dB),OL Phase (Deg),Plant Magnitude (dB),Plant Phase (Deg)
79997.3438,0,-180,2.49796176,-180
81837.2812,0,-180,1.88034391,180
83719.5391,-1.04E-06,-180,2.65659714,180
85645.0859,0,-180,1.43006182,-180
87614.9219,0,-180,2.26285028,-180
89630.0625,-1.04E-06,-180,1.64977014,180
91691.5547,-1.04E-06,-180,2.41984057,180
93800.4609,0,-180,-0.093455926,-180
95957.875,-1.04E-06,-180,2.10619068,-180
98164.9062,0,-180,1.80166578,180
100422.703,-1.04E-06,-180,2.22939444,180
102732.422,0,-180,0.623597085,-180
105095.266,-1.04E-06,-180,1.90393591,-180
107512.453,-1.04E-06,-180,2.87760925,-180
109985.242,-1.04E-06,-180,2.04644775,180
112514.906,-1.04E-06,-180,3.54557991,180
115102.75,-1.04E-06,-180,1.72736144,-180
117750.117,-1.04E-06,-180,2.65583611,-180
120458.367,0,-180,1.96971381,180
123228.906,0,-180,2.78067231,180
126063.172,0,-180,1.55243969,-180
128962.625,0,-180,2.32705045,-180
131928.766,-1.04E-06,-180,1.76760268,180
134963.125,0,-180,2.48922229,180
138067.281,0,-180,1.13447928,-180
141242.828,0,-180,2.13053608,-180
144491.406,0,-180,0.870340168,180
147814.703,-1.04E-06,-180,2.26648664,180
151214.438,0,-180,0.388634861,-180
154692.375,-1.04E-06,-180,1.88069415,-180
158250.297,0,-180,9.47424984,0
161890.047,0,-180,2.14236331,180
165613.516,0,-180,3.99693632,180
169422.625,0,-180,1.83518171,-180
